Age,Experience,Salary
41,20,164619
44,21,181424
28,6,84958
42,16,166670
23,0,61225
22,1,52870
27,5,92159
40,19,176190
27,1,80095
43,18,172746
28,4,92509
29,8,97031
43,19,174349
29,7,94655
45,22,182749
23,0,50569
32,9,121182
29,8,115711
35,10,115090
33,12,133889
30,4,97067
32,7,99300
43,22,177301
42,20,175082
23,1,54909
33,10,122257
41,18,160729
32,9,108265
42,19,184397
42,16,151139
40,14,142407
38,12,132821
26,2,73633
29,3,93349
38,16,164033
31,10,111305
22,0,58745
29,8,98713
39,13,141111
27,1,75158
33,7,109835
25,2,63975
28,2,83194
38,15,156555
34,9,118087
32,10,110132
37,13,130178
45,24,191392
25,0,56242
42,18,176743
23,0,59904
40,16,162538
29,4,75376
42,16,152553
42,17,161743
45,19,177946
24,1,67646
26,2,61306
44,18,169430
37,15,152235
24,0,58979
41,16,166954
27,5,87852
45,23,201274
45,20,171018
40,17,165410
21,0,55694
30,8,95498
28,3,71580
23,0,63324
23,0,51520
25,0,66574
38,16,150285
37,12,136865
27,2,86918
43,21,194961
30,6,107209
41,18,169755
37,13,131165
28,6,83698
31,10,123077
38,16,160882
28,7,88126
43,17,156729
28,7,86829
31,10,120647
28,5,99321
36,14,147269
25,0,69711
39,15,147162
36,12,127439
24,3,83393
34,11,127279
34,10,133090
22,0,67012
41,20,165786
33,7,105918
24,2,63878
27,2,77700
25,1,61212
