Employee_ID,Age,Gender,Education,Experience,Department,City,Salary,Performance_Rating,Working_Hours,Projects,Attendance,Promotion,Purchased
1,22,Male,Bachelor,1,HR,Mumbai,25000,3,8,1,90,No,No
2,25,Female,Master,3,IT,Pune,42000,4,9,3,95,Yes,Yes
3,30,Male,Bachelor,6,Sales,Delhi,65000,5,9,5,97,Yes,Yes
4,28,Female,PhD,5,IT,Mumbai,72000,5,8,4,96,Yes,Yes
5,35,Male,Master,10,Finance,Pune,90000,5,10,7,98,Yes,Yes
6,24,Female,Bachelor,2,HR,Delhi,30000,3,8,2,91,No,No
7,40,Male,PhD,15,Management,Mumbai,120000,5,10,9,99,Yes,Yes
8,27,Female,Master,4,IT,Pune,50000,4,9,3,94,Yes,Yes
9,29,Male,Bachelor,5,Sales,Delhi,55000,4,8,4,92,No,No
10,32,Female,Master,8,Finance,Mumbai,80000,5,9,6,97,Yes,Yes
11,26,Male,Bachelor,3,HR,Pune,38000,3,8,2,89,No,No
12,38,Female,PhD,12,Management,Delhi,110000,5,10,8,99,Yes,Yes
13,23,Male,Bachelor,1,IT,Mumbai,28000,2,8,1,88,No,No
14,31,Female,Master,7,Sales,Pune,70000,5,9,5,96,Yes,Yes
15,36,Male,PhD,11,Finance,Delhi,100000,5,10,7,98,Yes,Yes
16,27,Male,Bachelor,4,IT,Mumbai,47000,4,8,3,93,No,Yes
17,33,Female,Master,9,Finance,Pune,85000,5,9,6,97,Yes,Yes
18,21,Female,Bachelor,1,HR,Delhi,24000,2,8,1,87,No,No
19,45,Male,PhD,20,Management,Mumbai,150000,5,10,10,99,Yes,Yes
20,29,Female,Master,6,Sales,Pune,62000,4,9,4,95,Yes,Yes
21,34,Male,Bachelor,8,IT,Delhi,76000,5,9,5,96,Yes,Yes
22,26,Female,Bachelor,2,HR,Mumbai,32000,3,8,2,91,No,No
23,37,Male,Master,13,Finance,Pune,105000,5,10,8,98,Yes,Yes
24,28,Female,Bachelor,5,IT,Delhi,56000,4,9,4,94,Yes,Yes
25,41,Male,PhD,18,Management,Mumbai,135000,5,10,9,99,Yes,Yes
26,24,Female,Bachelor,2,Sales,Pune,34000,3,8,2,90,No,No
27,30,Male,Master,7,Finance,Delhi,78000,5,9,6,97,Yes,Yes
28,35,Female,PhD,10,IT,Mumbai,98000,5,9,7,98,Yes,Yes
29,22,Male,Bachelor,1,HR,Pune,26000,2,8,1,88,No,No
30,39,Female,Master,14,Management,Delhi,118000,5,10,8,99,Yes,Yes
