Employee_ID,Age,Gender,Education,Experience,Department,City,Salary,Performance_Rating,Working_Hours,Projects,Attendance,Promotion,Purchased
101,22,Male,Bachelor,1,HR,Mumbai,25000.0,3,8,1,90.0,No,No
102,25,Female,Master,3,IT,Pune,42000.0,4,9,3,95.0,Yes,Yes
103,30,Male,Bachelor,6,Sales,Delhi,65000.0,5,9,5,97.0,Yes,Yes
104,28,Female,PhD,5,IT,Mumbai,72000.0,5,8,4,96.0,Yes,Yes
105,35,Male,Master,10,Finance,Pune,,5,10,7,98.0,Yes,Yes
106,24,Female,Bachelor,2,HR,Delhi,30000.0,3,8,2,91.0,No,No
107,40,Male,PhD,15,Management,Mumbai,120000.0,5,10,9,99.0,Yes,Yes
108,27,Female,Master,4,IT,Pune,50000.0,4,9,3,94.0,Yes,Yes
109,29,Male,Bachelor,5,Sales,Delhi,55000.0,4,8,4,92.0,No,No
110,32,Female,Master,8,Finance,Mumbai,80000.0,5,9,6,97.0,Yes,Yes
111,26,Male,Bachelor,3,HR,Pune,38000.0,3,8,2,89.0,No,No
112,38,Female,PhD,12,,Delhi,110000.0,5,10,8,99.0,Yes,Yes
113,23,Male,Bachelor,1,IT,Mumbai,28000.0,2,8,1,88.0,No,No
114,31,Female,Master,7,Sales,Pune,70000.0,5,9,5,96.0,Yes,Yes
115,36,Male,PhD,11,Finance,Delhi,100000.0,5,10,7,98.0,Yes,Yes
116,27,Male,Bachelor,4,IT,Mumbai,47000.0,4,8,3,93.0,No,Yes
117,33,Female,Master,9,Finance,Pune,85000.0,5,9,6,97.0,Yes,Yes
118,21,Female,Bachelor,1,HR,Delhi,24000.0,2,8,1,,No,No
119,45,Male,PhD,20,Management,Mumbai,150000.0,5,10,10,99.0,Yes,Yes
120,29,Female,Master,6,Sales,Pune,500000.0,4,9,4,95.0,Yes,Yes
103,100,Male,Bachelor,6,Sales,Delhi,65000.0,5,9,5,97.0,Yes,Yes
